LIGURIA DIGITALE SOCIETA' CONSORTILE PER AZIONI,251,6356,47383,high,6/17/2009,6,17,200
Agenzia Regionale Molise Acque,252,9383,47223,high,11/18/2009,11,18,200
SOGLIANO AMBIENTE S.P.A.,253,7903,46859,high,11/19/2009,11,19,200
Agenzia Regionale per le Attivita' Irrigue e Forestali della Puglia,254,9508,46725,high,11/19/2009,11,19,200
ALER BRESCIA,255,8609,46721,high,11/19/2009,11,19,200
AEROPORTO VALERIO CATULLO DI VERONA VILLAFRANCA SOCIETA' PER AZIONI,11,183,46679,low,11/2/2009,11,2,200
ASM BRESSANONE S.P.A. % STADTWERKE BRIXEN AG,240,501,46484,high,7/29/2009,7,29,200
LAIT - LAZIO INNOVAZIONE TECNOLOGICA S.P.A.,241,6298,46170,high,11/20/2009,11,20,200
CSTP AZIENDA DELLA MOBILITA' SPA IN AMMINISTRAZIONE STRAORDINARIA,242,5199,45845,high,11/10/2008,11,10,200
Autorità Portuale di Trieste - Trieste,11,8838,45689,low,11/2/2009,11,2,200
BIM GESTIONE SERVIZI PUBBLICI S.P.A.,244,1053,45555,high,11/1/2008,11,1,200
ASM ENERGIA S.P.A.,245,502,45488,high,11/1/2008,11,1,200
SEAB SERVIZI ENERGIA AMBIENTE BOLZANO S.P.A.  IN BREVE SEAB SPA/AG % SEAB ENERGIE-UMWELTBETRIEBE BOZEN AG  IN KURZFORM SEAB SPA/AG,246,7566,45038,high,7/1/2009,7,1,200
AREA Azienda Regionale per l'Edilizia Abitativa,11,9814,45034,low,11/2/2009,11,2,200
